"wave","flux"
4717.4873,3.516362671651957e-17
4718.7373,3.125724650065104e-17
4719.9873,2.674242461404683e-17
4721.2373,2.768869153811609e-17
4722.4873,3.028917383641373e-17
4723.7373,3.252467421920212e-17
4724.9873,3.453021727008585e-17
4726.2373,3.515502286181037e-17
4727.4873,3.23131770494249e-17
4728.7373,3.246046359592014e-17
4729.9873,3.541132588704429e-17
4731.2373,3.48839939823857e-17
4732.4873,2.957906865249445e-17
4733.7373,2.727889739613475e-17
4734.9873,2.950712827706043e-17
4736.2373,3.006330678680797e-17
4737.4873,3.042016979076244e-17
4738.7373,3.148930980917849e-17
4739.9873,3.40098264341001e-17
4741.2373,3.372777083031925e-17
4742.4873,3.264051153489101e-17
4743.7373,3.475525518723476e-17
4744.9873,3.39080207805869e-17
4746.2373,3.08867716396002e-17
4747.4873,3.071044791892722e-17
4748.7373,3.286631916940949e-17
4749.9873,3.304868256368754e-17
4751.2373,3.476305771062404e-17
4752.4873,3.742384582519531e-17
4753.7373,3.753559254587433e-17
4754.9873,3.878042374975888e-17
4756.2373,4.00930414797936e-17
4757.4873,3.775764185022425e-17
4758.7373,3.606442837938851e-17
4759.9873,3.561094777801891e-17
4761.2373,3.621396861135223e-17
4762.4873,3.451441078468604e-17
4763.7373,3.078519057662398e-17
4764.9873,3.075224121470508e-17
4766.2373,3.003305442904249e-17
4767.4873,2.640562549732349e-17
4768.7373,2.469797148527922e-17
4769.9873,2.39805091537664e-17
4771.2373,2.405172350471402e-17
4772.4873,2.582121705985362e-17
4773.7373,2.802405107663001e-17
4774.9873,2.954885753490306e-17
4776.2373,2.801901839268061e-17
4777.4873,2.59550668410313e-17
4778.7373,2.894385047064886e-17
4779.9873,3.29095581544476e-17
4781.2373,3.421458450129002e-17
4782.4873,3.352870124722704e-17
4783.7373,3.212689817828895e-17
4784.9873,3.1592279776114e-17
4786.2373,3.165635184205608e-17
4787.4873,3.024606160858531e-17
4788.7373,2.846872427481192e-17
4789.9873,2.986836955506124e-17
4791.2373,3.007407997413917e-17
4792.4873,2.987697904610339e-17
4793.7373,2.993928658567829e-17
4794.9873,3.019274794590325e-17
4796.2373,3.156675331021533e-17
4797.4873,3.436559656967351e-17
4798.7373,3.781684408305603e-17
4799.9873,3.937843943654755e-17
4801.2373,3.710468471197434e-17
4802.4873,3.384628981602045e-17
4803.7373,3.131831672951026e-17
4804.9873,3.037774172182437e-17
4806.2373,3.453996723693095e-17
4807.4873,3.870055440266927e-17
4808.7373,3.709056986490886e-17
4809.9873,3.187771959092881e-17
4811.2373,2.876414748203607e-17
4812.4873,2.832439183364679e-17
4813.7373,2.889540999424311e-17
4814.9873,3.050120353792919e-17
4816.2373,3.098187860559534e-17
4817.4873,3.124274272400655e-17
4818.7373,3.271119717444903e-17
4819.9873,3.185194422592352e-17
4821.2373,3.129744691071689e-17
4822.4873,3.37750049054181e-17
4823.7373,3.580107005931712e-17
4824.9873,3.559993915322388e-17
4826.2373,3.577312906901042e-17
4827.4873,3.542907653055074e-17
4828.7373,3.235682938187209e-17
4829.9873,3.35965859043451e-17
4831.2373,3.520130701135705e-17
4832.4873,3.278747817428024e-17
4833.7373,3.179612478750722e-17
4834.9873,3.481750148443528e-17
4836.2373,3.243243701699338e-17
4837.4873,2.920888950300806e-17
4838.7373,3.47332751916956e-17
4839.9873,3.898857036826052e-17
4841.2373,3.831274206090857e-17
4842.4873,3.883709986557196e-17
4843.7373,3.862980216320652e-17
4844.9873,3.528641637731481e-17
4846.2373,3.433226230951003e-17
4847.4873,3.613219538935909e-17
4848.7373,3.562203732337482e-17
4849.9873,3.764089913073881e-17
4851.2373,4.062863095130451e-17
4852.4873,3.792427827811535e-17
4853.7373,3.346146514892577e-17
4854.9873,3.28945865018868e-17
4856.2373,3.260584335138767e-17
4857.4873,3.382639065212674e-17
4858.7373,3.565291627483603e-17
4859.9873,3.341165790322386e-17
4861.2373,3.300195274070458e-17
4862.4873,3.714284750855998e-17
4863.7373,3.516970216350791e-17
4864.9873,3.04480517728829e-17
4866.2373,2.709529420452353e-17
4867.4873,2.810123405550733e-17
4868.7373,3.10517766505112e-17
4869.9873,3.041293754671826e-17
4871.2373,3.222488937566309e-17
4872.4873,3.4852525593322e-17
4873.7373,3.630558969756702e-17
4874.9873,3.67563857090326e-17
4876.2373,3.294343086525245e-17
4877.4873,3.24231809149848e-17
4878.7373,3.63511067331573e-17
4879.9873,3.496538492085022e-17
4881.2373,3.495059874734762e-17
4882.4873,3.869538530514563e-17
4883.7373,4.164947969413097e-17
4884.9873,4.120546829788772e-17
4886.2373,3.484832718460648e-17
4887.4873,3.313198214684003e-17
4888.7373,3.826787602930894e-17
4889.9873,3.746920297881702e-17
4891.2373,3.517895135573398e-17
4892.4873,3.773901639208381e-17
4893.7373,3.904624131190925e-17
4894.9873,3.552733384874132e-17
4896.2373,3.34207452430254e-17
4897.4873,3.773141268506461e-17
4898.7373,4.328969188548899e-17
4899.9873,4.765659454722464e-17
